Time(s),HeartRate(1/min),CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),TotalMetabolicRate(kcal/day),CoreTemperature(degC),SkinTemperature(degC),RespirationRate(1/min),AchievedExerciseLevel,FatigueLevel,TotalMetabolicRate(W),TotalWorkRateLevel
111.02,157.894737,7350.788917,100.384641,113.594213,86.787179,6900.546379,37.145054,33.214061,22.058824,0.773225,0.056579,334.165348,0.193306
112.02,157.894737,7350.133467,100.410341,113.663355,86.793385,6900.546379,37.146044,33.214684,22.058824,0.777274,0.052525,334.165348,0.194319
113.02,157.894737,7362.706746,100.486181,113.740465,86.861280,6900.546379,37.147034,33.215299,22.058824,0.773194,0.056577,334.165348,0.193299
114.02,157.894737,7362.437551,100.530027,113.809204,86.888773,6900.546379,37.148024,33.215907,22.058824,0.777323,0.052501,334.165348,0.194331
115.02,166.666667,7642.170513,102.008955,114.669461,89.070317,6900.546379,37.149012,33.216520,22.058824,0.779138,0.054299,334.165348,0.194785
116.02,157.894737,7293.659576,100.770677,114.067954,87.045673,6900.546379,37.149999,33.217136,22.058824,0.775312,0.052050,334.165348,0.193828
117.02,157.894737,7334.987594,100.326420,113.603777,86.704127,6900.546379,37.150989,33.217719,22.058824,0.778732,0.055314,334.165348,0.194683
118.02,166.666667,7620.128181,101.769579,114.394777,88.868818,6900.546379,37.151977,33.218311,22.058824,0.773542,0.053737,334.165348,0.193385
119.02,157.894737,7308.522613,100.285691,113.515127,86.672004,6900.546379,37.152965,33.218888,22.058824,0.779890,0.054132,334.165348,0.194973
120.02,166.666667,7599.693478,101.588102,114.195729,88.712285,6900.546379,37.153954,33.219446,22.058824,0.769220,0.055745,334.165348,0.192305
121.02,157.894737,7133.881114,101.110013,114.429512,87.240437,6900.546379,37.154941,33.220026,22.058824,0.780672,0.052412,334.165348,0.195168
122.02,157.894737,7290.273652,99.916206,113.115553,86.368322,6900.546379,37.155931,33.220565,22.058824,0.770002,0.057469,334.165348,0.192500
123.02,166.666667,7575.753130,101.332453,113.913774,88.496676,6900.546379,37.156920,33.221100,22.058824,0.778557,0.052204,334.165348,0.194639
124.02,157.894737,7101.811929,100.855996,114.131128,87.031123,6900.546379,37.157906,33.221652,22.058824,0.777603,0.055421,334.165348,0.194401
125.02,166.666667,7650.161038,100.447328,112.914184,87.832082,6900.546379,37.158896,33.222167,22.058824,0.774747,0.053159,334.165348,0.193687
126.02,166.666667,7471.750539,101.278972,113.827153,88.414708,6900.546379,37.159883,33.222694,22.058824,0.780590,0.053117,334.165348,0.195148
127.02,166.666667,7443.305079,101.120358,113.598335,88.293966,6900.546379,37.160870,33.223215,22.058824,0.771473,0.056036,334.165348,0.192868
128.02,166.666667,7418.489282,100.930708,113.404118,88.125632,6900.546379,37.161858,33.223723,22.058824,0.776987,0.052063,334.165348,0.194247
129.02,166.666667,7401.349642,100.685705,113.107809,87.933005,6900.546379,37.162846,33.224216,22.058824,0.779490,0.054283,334.165348,0.194872
130.02,166.666667,7510.870922,99.774735,112.114174,87.256073,6900.546379,37.163836,33.224688,22.058824,0.767296,0.056396,334.165348,0.191824
131.02,166.666667,7395.624752,100.394734,112.825426,87.690045,6900.546379,37.164826,33.225144,22.058824,0.779398,0.053170,334.165348,0.194850
132.02,166.666667,7379.797299,100.438689,112.862623,87.725227,6900.546379,37.165816,33.225599,22.058824,0.773044,0.056534,334.165348,0.193261
133.02,166.666667,7368.106272,100.397795,112.836774,87.682360,6900.546379,37.166805,33.226044,22.058824,0.773822,0.053990,334.165348,0.193455
134.02,166.666667,7354.027393,100.277894,112.762930,87.562519,6900.546379,37.167795,33.226477,22.058824,0.779707,0.054043,334.165348,0.194927
135.02,166.666667,7354.119991,100.252783,112.733971,87.547054,6900.546379,37.168786,33.226899,22.058824,0.770243,0.057274,334.165348,0.192561
136.02,166.666667,7342.983252,100.216606,112.745693,87.496978,6900.546379,37.169776,33.227311,22.058824,0.775656,0.053177,334.165348,0.193914
137.02,166.666667,7341.972592,100.172426,112.745572,87.447905,6900.546379,37.170767,33.227712,22.058824,0.778386,0.055310,334.165348,0.194597
138.02,166.666667,7341.916626,100.206349,112.810619,87.469207,6900.546379,37.171758,33.228103,22.058824,0.767345,0.057501,334.165348,0.191836
139.02,166.666667,7333.103562,100.180468,112.853128,87.421595,6900.546379,37.172749,33.228484,22.058824,0.777514,0.053631,334.165348,0.194379
140.02,166.666667,7340.850257,100.200440,112.911333,87.432235,6900.546379,37.173741,33.228856,21.897810,0.776690,0.056704,334.165348,0.194173
141.02,166.666667,7340.693934,100.241943,112.986901,87.457204,6900.546379,37.174733,33.229218,21.897810,0.771892,0.055236,334.165348,0.192973
142.02,166.666667,7340.585419,100.244658,113.072180,87.430177,6900.546379,37.175725,33.229572,21.897810,0.779351,0.054344,334.165348,0.194838
143.02,166.666667,7352.699175,100.357033,113.198761,87.525055,6900.546379,37.176718,33.229918,21.897810,0.770503,0.057798,334.165348,0.192626
144.02,166.666667,7361.201392,100.445721,113.294753,87.595794,6900.546379,37.177710,33.230257,21.897810,0.774066,0.053701,334.165348,0.193517
145.02,166.666667,7370.831277,100.571948,113.429564,87.694422,6900.546379,37.178702,33.230590,21.897810,0.778332,0.055203,334.165348,0.194583
146.02,166.666667,7376.225494,100.650641,113.517420,87.759189,6900.546379,37.179694,33.230916,21.897810,0.768833,0.057868,334.165348,0.192208
147.02,166.666667,7382.834734,100.714604,113.583489,87.807126,6900.546379,37.180686,33.231236,21.897810,0.776350,0.053718,334.165348,0.194087
148.02,166.666667,7387.278429,100.785316,113.658512,87.861442,6900.546379,37.181677,33.231549,21.897810,0.777351,0.056186,334.165348,0.194338
149.02,166.666667,7391.447162,100.831058,113.707787,87.897177,6900.546379,37.182669,33.231854,21.897810,0.766501,0.056986,334.165348,0.191625
150.02,166.666667,7395.904780,100.874688,113.750290,87.927458,6900.546379,37.183660,33.232152,21.897810,0.778443,0.054051,334.165348,0.194611
151.02,166.666667,7396.957757,100.905206,113.782882,87.950680,6900.546379,37.184652,33.232443,21.897810,0.772141,0.057478,334.165348,0.193035
152.02,166.666667,7398.865781,100.920788,113.798651,87.961883,6900.546379,37.185643,33.232726,21.897810,0.772938,0.054782,334.165348,0.193235
153.02,166.666667,7402.963003,100.960974,113.834993,87.987352,6900.546379,37.186634,33.233002,21.897810,0.778752,0.054796,334.165348,0.194688
154.02,166.666667,7402.393965,100.966887,113.841670,87.991889,6900.546379,37.187626,33.233269,21.897810,0.769385,0.057978,334.165348,0.192346
155.02,166.666667,7404.686805,100.980187,113.852191,87.999192,6900.546379,37.188617,33.233528,21.897810,0.775039,0.053767,334.165348,0.193760
156.02,166.666667,7406.110795,101.000832,113.868558,88.010468,6900.546379,37.189608,33.233780,21.897810,0.777755,0.055782,334.165348,0.194439
157.02,166.666667,7405.389204,100.996329,113.863403,88.006742,6900.546379,37.190599,33.234023,21.897810,0.766978,0.057960,334.165348,0.191744
158.02,166.666667,7407.643169,101.010133,113.872275,88.012961,6900.546379,37.191591,33.234258,21.897810,0.777082,0.054026,334.165348,0.194271
159.02,166.666667,7406.964282,101.014562,113.873531,88.013847,6900.546379,37.192582,33.234485,21.897810,0.776514,0.057012,334.165348,0.194128
160.02,166.666667,7406.290107,101.007954,113.866188,88.008818,6900.546379,37.193573,33.234703,21.897810,0.771535,0.055564,334.165348,0.192884
161.02,166.666667,7408.518554,101.022943,113.873470,88.014252,6900.546379,37.194564,33.234913,21.897810,0.779019,0.054618,334.165348,0.194755
162.02,166.666667,7406.661552,101.016217,113.865056,88.008766,6900.546379,37.195555,33.235115,21.897810,0.770281,0.058110,334.165348,0.192570
163.02,166.666667,7406.863984,101.013908,113.860170,88.005775,6900.546379,37.196546,33.235307,21.897810,0.773564,0.054049,334.165348,0.193391
164.02,166.666667,7407.984816,101.026276,113.864830,88.009809,6900.546379,37.197537,33.235492,21.897810,0.777951,0.055576,334.165348,0.194488
165.02,166.666667,7405.934755,101.014816,113.852465,88.002041,6900.546379,37.198528,33.235668,21.897810,0.768373,0.058415,334.165348,0.192093
166.02,166.666667,7406.938438,101.019259,113.852026,88.002504,6900.546379,37.199519,33.235835,21.897810,0.775615,0.054209,334.165348,0.193904
167.02,166.666667,7406.633657,101.025306,113.852089,88.003767,6900.546379,37.200510,33.235994,21.897810,0.776851,0.056713,334.165348,0.194213
168.02,166.666667,7405.186821,101.015547,113.840775,87.997239,6900.546379,37.201501,33.236145,21.897810,0.765616,0.057729,334.165348,0.191404
169.02,166.666667,7406.351981,101.024662,113.843430,88.000182,6900.546379,37.202493,33.236286,21.897810,0.777593,0.054644,334.165348,0.194398
170.02,166.666667,7404.881599,101.023315,113.838628,87.998468,6900.546379,37.203484,33.236420,21.897810,0.771703,0.058127,334.165348,0.192926
171.02,166.666667,7404.009896,101.017340,113.831644,87.994790,6900.546379,37.204475,33.236544,21.897810,0.772041,0.055587,334.165348,0.193010
172.02,166.666667,7405.072670,101.029412,113.834531,87.998830,6900.546379,37.205466,33.236660,21.897810,0.778036,0.055468,334.165348,0.194509
173.02,166.666667,7403.021720,101.022608,113.826489,87.995246,6900.546379,37.206457,33.236768,21.897810,0.768647,0.058747,334.165348,0.192162
174.02,166.666667,7403.082600,101.022608,113.823254,87.995001,6900.546379,37.207448,33.236866,21.897810,0.774095,0.054510,334.165348,0.193524
175.02,166.666667,7403.167982,101.024355,113.817512,87.998294,6900.546379,37.208438,33.236965,21.897810,0.776993,0.056476,334.165348,0.194248
176.02,166.666667,7401.500681,101.017605,113.810685,87.992097,6900.546379,37.209429,33.237047,21.897810,0.766248,0.058698,334.165348,0.191562
177.02,166.666667,7401.959669,101.018801,113.805265,87.996241,6900.546379,37.210420,33.237120,21.897810,0.776131,0.054780,334.165348,0.194033
178.02,166.666667,7401.296182,101.024742,113.803760,88.009104,6900.546379,37.211411,33.237185,21.897810,0.775695,0.057776,334.165348,0.193924
179.02,166.666667,7399.856204,101.019712,113.797353,88.004366,6900.546379,37.212402,33.237241,21.897810,0.770574,0.056427,334.165348,0.192643
180.02,166.666667,7400.581492,101.031092,113.799365,88.023132,6900.546379,37.213393,33.237288,21.897810,0.778084,0.055404,334.165348,0.194521
181.02,166.666667,7398.910267,101.030560,113.795642,88.026270,6900.546379,37.214384,33.237327,21.897810,0.769438,0.058933,334.165348,0.192359
182.02,166.666667,7398.057000,101.027904,113.791992,88.023630,6900.546379,37.215375,33.237356,21.897810,0.772581,0.054874,334.165348,0.193145
183.02,166.666667,7398.561065,101.042349,113.793651,88.048494,6900.546379,37.216366,33.237378,21.897810,0.777040,0.056384,334.165348,0.194260
184.02,166.666667,7396.506476,101.037026,113.788418,88.043364,6900.546379,37.217356,33.237390,21.897810,0.767438,0.059270,334.165348,0.191860
185.02,166.666667,7396.351666,101.040344,113.787108,88.049571,6900.546379,37.218347,33.237394,21.897810,0.774617,0.055048,334.165348,0.193654
186.02,166.666667,7396.104386,101.051268,113.787286,88.069810,6900.546379,37.219338,33.237390,21.897810,0.775926,0.057538,334.165348,0.193981
